distance_km,mode,mode_code,hour_of_day,is_peak,transfers,fare_lkr
284.66,train,3,14,0,1,1571.0
85.33,train,3,7,1,0,584.0
5.71,tuk,1,10,0,0,731.0
36.84,bus,2,15,0,0,306.0
2.13,tuk,1,8,1,0,366.0
47.02,bus,2,6,0,0,309.0
75.43,taxi,4,19,1,0,10650.0
109.34,bus,2,9,1,0,663.0
126.12,bus,2,15,0,0,694.0
1.84,walk,0,0,0,0,0.0
66.05,taxi,4,1,0,0,9687.0
19.79,tuk,1,20,0,0,2253.0
0.17,walk,0,3,0,0,0.0
17.03,tuk,1,19,1,0,1737.0
0.62,walk,0,21,0,0,0.0
121.57,bus,2,11,0,1,692.0
196.16,bus,2,21,0,0,1085.0
19.48,tuk,1,10,0,0,2228.0
1.44,walk,0,22,0,0,0.0
5.39,tuk,1,5,0,0,751.0
53.91,bus,2,10,0,0,294.0
1.56,walk,0,9,1,0,0.0
209.56,bus,2,18,1,0,1193.0
4.34,tuk,1,1,0,0,656.0
1.51,tuk,1,19,1,0,339.0
69.05,bus,2,0,0,0,330.0
160.91,bus,2,7,1,0,1077.0
1.81,walk,0,14,0,0,0.0
17.44,tuk,1,3,0,0,1878.0
236.27,train,3,11,0,0,1064.0
1.27,walk,0,23,0,0,0.0
194.9,bus,2,19,1,1,1019.0
196.62,bus,2,0,0,0,1013.0
18.42,tuk,1,14,0,0,1904.0
165.1,bus,2,14,0,0,1077.0
175.93,train,3,1,0,1,1226.0
51.67,train,3,15,0,0,337.0
14.48,tuk,1,12,0,0,1523.0
13.95,tuk,1,16,0,0,1679.0
19.16,tuk,1,7,1,0,2330.0
44.27,bus,2,6,0,1,353.0
101.55,bus,2,17,1,0,700.0
18.6,tuk,1,17,1,0,1866.0
18.43,tuk,1,3,0,0,2008.0
284.56,train,3,5,0,1,1627.0
0.46,walk,0,14,0,0,0.0
159.1,bus,2,19,1,0,1044.0
328.03,train,3,4,0,0,1703.0
16.45,tuk,1,5,0,0,1905.0
0.9,walk,0,19,1,0,0.0
5.6,tuk,1,16,0,0,655.0
154.12,train,3,21,0,0,855.0
1.26,walk,0,18,1,0,0.0
19.46,tuk,1,22,0,0,1958.0
0.22,walk,0,4,0,0,0.0
16.25,tuk,1,6,0,0,1865.0
201.55,bus,2,5,0,0,1137.0
18.01,tuk,1,1,0,0,2098.0
219.25,bus,2,18,1,1,1118.0
233.85,bus,2,15,0,1,1294.0
309.72,train,3,2,0,0,1600.0
1.39,walk,0,4,0,0,0.0
336.46,train,3,4,0,0,1761.0
146.64,bus,2,9,1,0,788.0
17.17,tuk,1,10,0,0,1950.0
114.85,train,3,6,0,2,902.0
339.61,train,3,22,0,1,1775.0
16.75,tuk,1,5,0,0,1992.0
228.35,train,3,13,0,0,1397.0
61.7,bus,2,10,0,1,488.0
87.25,bus,2,9,1,0,604.0
74.31,taxi,4,19,1,0,10530.0
248.12,bus,2,23,0,1,1534.0
25.11,train,3,0,0,0,182.0
6.21,tuk,1,11,0,0,836.0
207.38,train,3,2,0,0,992.0
127.21,bus,2,10,0,1,896.0
10.85,tuk,1,14,0,0,1376.0
122.72,bus,2,9,1,2,841.0
4.88,tuk,1,7,1,0,703.0
0.99,walk,0,7,1,0,0.0
1.25,walk,0,7,1,0,0.0
17.63,tuk,1,7,1,0,2144.0
0.87,walk,0,8,1,0,0.0
3.27,tuk,1,16,0,0,513.0
203.04,train,3,2,0,2,1345.0
293.18,train,3,0,0,0,1401.0
114.08,train,3,12,0,0,602.0
3.88,tuk,1,16,0,0,520.0
71.77,train,3,6,0,2,715.0
195.37,bus,2,4,0,1,989.0
19.7,tuk,1,14,0,0,2067.0
7.54,tuk,1,9,1,0,939.0
97.71,bus,2,17,1,1,559.0
15.57,tuk,1,3,0,0,1784.0
209.7,bus,2,2,0,0,1117.0
103.75,taxi,4,13,0,0,14548.0
0.99,walk,0,9,1,0,0.0
1.7,walk,0,17,1,0,0.0
75.32,taxi,4,12,0,0,12401.0
50.4,bus,2,8,1,0,359.0
6.24,tuk,1,3,0,0,766.0
283.24,train,3,3,0,0,1393.0
211.17,train,3,18,1,0,1307.0
187.32,bus,2,5,0,0,1137.0
66.2,bus,2,12,0,2,568.0
1.09,tuk,1,19,1,0,286.0
1.65,walk,0,21,0,0,0.0
133.15,bus,2,6,0,2,909.0
6.48,tuk,1,2,0,0,866.0
29.94,bus,2,18,1,0,206.0
210.8,train,3,16,0,0,1032.0
0.84,walk,0,7,1,0,0.0
148.39,bus,2,14,0,0,778.0
15.01,tuk,1,4,0,0,1771.0
133.94,train,3,16,0,1,741.0
6.0,tuk,1,17,1,0,795.0
133.97,bus,2,7,1,0,866.0
81.66,bus,2,11,0,0,453.0
179.32,bus,2,8,1,0,1155.0
64.84,bus,2,0,0,1,498.0
33.33,train,3,3,0,0,288.0
153.62,bus,2,23,0,1,900.0
244.92,train,3,10,0,0,1284.0
48.5,taxi,4,3,0,0,7128.0
70.56,bus,2,1,0,0,444.0
116.4,bus,2,8,1,0,674.0
1.17,walk,0,23,0,0,0.0
92.93,train,3,9,1,0,602.0
214.97,bus,2,23,0,1,1455.0
132.65,bus,2,11,0,1,703.0
0.56,walk,0,18,1,0,0.0
306.47,train,3,18,1,0,1931.0
191.49,bus,2,0,0,0,958.0
103.73,bus,2,0,0,0,525.0
0.96,tuk,1,22,0,0,277.0
108.0,taxi,4,22,0,0,16479.0
13.22,tuk,1,3,0,0,1628.0
8.82,tuk,1,15,0,0,1071.0
15.35,train,3,22,0,0,226.0
114.04,train,3,22,0,0,781.0
7.52,tuk,1,7,1,0,912.0
182.62,bus,2,19,1,0,917.0
221.85,train,3,15,0,0,1335.0
173.93,train,3,22,0,0,1194.0
205.63,bus,2,3,0,0,1146.0
94.07,bus,2,14,0,1,723.0
200.94,train,3,0,0,0,1033.0
337.67,train,3,8,1,0,1560.0
331.31,train,3,0,0,0,1801.0
228.65,bus,2,10,0,0,1233.0
4.79,tuk,1,19,1,0,660.0
128.18,train,3,15,0,0,622.0
89.25,train,3,7,1,0,551.0
219.08,train,3,10,0,0,1053.0
1.67,walk,0,8,1,0,0.0
7.32,tuk,1,17,1,0,976.0
319.53,train,3,6,0,1,1987.0
1.51,walk,0,2,0,0,0.0
22.39,taxi,4,12,0,0,3948.0
88.01,bus,2,19,1,1,650.0
111.65,train,3,11,0,1,770.0
60.68,train,3,4,0,0,459.0
193.07,bus,2,1,0,0,955.0
10.13,tuk,1,22,0,0,1298.0
69.48,bus,2,18,1,2,601.0
132.02,bus,2,3,0,0,856.0
85.44,bus,2,1,0,1,585.0
222.19,bus,2,3,0,0,1168.0
137.25,train,3,9,1,1,810.0
57.82,bus,2,19,1,0,339.0
11.75,tuk,1,3,0,0,1271.0
59.35,bus,2,19,1,0,386.0
99.71,bus,2,0,0,2,754.0
19.15,tuk,1,17,1,0,2049.0
10.64,tuk,1,6,0,0,1168.0
166.04,bus,2,23,0,0,1017.0
19.97,tuk,1,11,0,0,2306.0
130.73,taxi,4,6,0,0,19800.0
5.13,tuk,1,5,0,0,691.0
1.65,walk,0,19,1,0,0.0
32.38,train,3,9,1,0,271.0
46.63,train,3,8,1,0,395.0
16.1,tuk,1,17,1,0,1825.0
7.55,tuk,1,12,0,0,899.0
2.58,tuk,1,15,0,0,412.0
127.06,bus,2,10,0,0,742.0
225.69,bus,2,1,0,0,1101.0
6.65,tuk,1,0,0,0,817.0
0.26,walk,0,0,0,0,0.0
198.56,bus,2,13,0,0,989.0
118.25,taxi,4,12,0,0,19195.0
227.04,bus,2,17,1,0,1228.0
180.7,bus,2,21,0,0,1080.0
1.44,tuk,1,4,0,0,278.0
3.22,tuk,1,22,0,0,485.0
15.14,tuk,1,22,0,0,1580.0
318.46,train,3,14,0,1,1629.0
256.04,train,3,12,0,0,1610.0
17.99,train,3,4,0,1,317.0
107.74,taxi,4,4,0,0,17124.0
89.17,taxi,4,0,0,0,13469.0
106.69,taxi,4,15,0,0,17327.0
0.53,walk,0,10,0,0,0.0
0.84,tuk,1,4,0,0,266.0
1.79,tuk,1,3,0,0,322.0
127.91,bus,2,1,0,0,745.0
1.36,walk,0,15,0,0,0.0
213.38,train,3,16,0,0,976.0
45.57,bus,2,15,0,0,282.0
48.71,bus,2,2,0,0,314.0
16.33,tuk,1,0,0,0,1685.0
15.59,tuk,1,2,0,0,1692.0
3.54,tuk,1,18,1,0,507.0
141.2,train,3,17,1,0,801.0
23.79,bus,2,7,1,0,159.0
255.39,train,3,1,0,0,1150.0
1.56,tuk,1,7,1,0,378.0
149.98,bus,2,19,1,0,968.0
199.19,bus,2,3,0,0,1199.0
170.14,train,3,19,1,0,884.0
169.94,train,3,11,0,0,851.0
1.48,tuk,1,3,0,0,317.0
178.36,train,3,22,0,0,1137.0
6.09,tuk,1,12,0,0,711.0
203.01,train,3,16,0,0,976.0
6.74,tuk,1,2,0,0,905.0
1.72,tuk,1,8,1,0,347.0
57.4,train,3,15,0,0,358.0
10.28,tuk,1,15,0,0,1124.0
74.75,bus,2,1,0,2,600.0
209.54,bus,2,14,0,0,1260.0
17.08,tuk,1,22,0,0,1998.0
261.13,train,3,18,1,0,1680.0
299.37,train,3,4,0,0,1473.0
18.62,train,3,21,0,0,196.0
3.93,tuk,1,16,0,0,533.0
90.43,bus,2,1,0,0,526.0
7.03,tuk,1,3,0,0,918.0
3.41,tuk,1,22,0,0,492.0
1.36,tuk,1,5,0,0,332.0
218.56,train,3,2,0,1,1268.0
26.87,train,3,10,0,0,253.0
220.29,train,3,12,0,0,1052.0
131.56,bus,2,13,0,1,815.0
18.14,bus,2,15,0,0,105.0
43.59,bus,2,23,0,0,318.0
207.19,bus,2,18,1,0,1135.0
231.21,bus,2,0,0,0,1416.0
3.83,tuk,1,2,0,0,536.0
19.22,tuk,1,0,0,0,1900.0
135.23,taxi,4,9,1,0,19379.0
75.43,bus,2,8,1,0,452.0
53.38,taxi,4,22,0,0,7848.0
14.27,tuk,1,8,1,0,1531.0
87.54,bus,2,0,0,0,517.0
13.76,tuk,1,21,0,0,1656.0
3.4,tuk,1,6,0,0,545.0
1.19,walk,0,21,0,0,0.0
3.72,tuk,1,18,1,0,556.0
154.43,train,3,21,0,0,861.0
3.53,tuk,1,19,1,0,520.0
141.07,bus,2,3,0,1,974.0
204.79,bus,2,15,0,1,1082.0
34.51,bus,2,9,1,0,277.0
23.17,bus,2,15,0,1,218.0
17.03,tuk,1,17,1,0,1944.0
53.84,taxi,4,12,0,0,7886.0
299.51,train,3,7,1,0,1445.0
109.16,train,3,21,0,0,636.0
138.08,bus,2,15,0,1,842.0
15.12,tuk,1,21,0,0,1537.0
32.84,train,3,5,0,1,318.0
13.23,tuk,1,20,0,0,1430.0
0.78,walk,0,7,1,0,0.0
16.41,tuk,1,11,0,0,1942.0
129.36,train,3,20,0,0,622.0
42.45,bus,2,8,1,1,362.0
224.06,train,3,6,0,0,1146.0
334.83,train,3,21,0,1,2014.0
1.02,tuk,1,23,0,0,250.0
247.81,train,3,7,1,0,1557.0
101.5,bus,2,7,1,0,586.0
221.98,bus,2,5,0,0,1056.0
0.62,walk,0,0,0,0,0.0
149.64,taxi,4,13,0,0,22559.0
5.68,tuk,1,6,0,0,705.0
0.92,walk,0,20,0,0,0.0
61.38,bus,2,4,0,0,312.0
0.81,tuk,1,15,0,0,259.0
1.98,tuk,1,12,0,0,367.0
152.57,bus,2,14,0,0,721.0
30.86,bus,2,2,0,0,219.0
285.47,train,3,11,0,1,1571.0
7.58,tuk,1,15,0,0,969.0
131.31,train,3,8,1,0,671.0
146.23,bus,2,20,0,0,874.0
240.46,bus,2,12,0,1,1595.0
113.16,bus,2,8,1,0,632.0
184.66,bus,2,0,0,0,1163.0
51.77,taxi,4,4,0,0,8625.0
1.83,tuk,1,11,0,0,344.0
13.46,tuk,1,9,1,0,1568.0
192.07,bus,2,20,0,0,1229.0
275.08,train,3,18,1,0,1307.0
0.55,walk,0,3,0,0,0.0
225.76,bus,2,14,0,0,1197.0
174.48,train,3,10,0,0,1081.0
102.92,train,3,2,0,2,683.0
62.0,taxi,4,15,0,0,8731.0
24.39,bus,2,12,0,0,183.0
40.48,bus,2,2,0,0,280.0
15.84,tuk,1,11,0,0,1695.0
240.75,train,3,17,1,1,1215.0
83.44,bus,2,7,1,0,506.0
62.39,train,3,8,1,0,444.0
228.45,bus,2,2,0,2,1227.0
154.16,bus,2,4,0,0,943.0
128.54,train,3,23,0,1,819.0
142.93,bus,2,14,0,0,796.0
63.81,train,3,4,0,2,606.0
100.01,bus,2,11,0,1,709.0
116.79,bus,2,4,0,0,727.0
15.64,tuk,1,10,0,0,1535.0
77.63,bus,2,3,0,1,521.0
115.7,bus,2,14,0,1,815.0
4.38,tuk,1,13,0,0,597.0
1.35,walk,0,15,0,0,0.0
54.66,bus,2,10,0,1,380.0
212.27,bus,2,6,0,1,1387.0
100.51,bus,2,5,0,1,670.0
0.91,walk,0,5,0,0,0.0
10.65,tuk,1,10,0,0,1141.0
13.21,tuk,1,10,0,0,1527.0
46.94,train,3,16,0,0,398.0
255.83,train,3,1,0,0,1209.0
12.05,tuk,1,6,0,0,1324.0
17.77,bus,2,20,0,0,154.0
17.23,tuk,1,21,0,0,1840.0
2.8,tuk,1,22,0,0,466.0
16.54,tuk,1,7,1,0,1973.0
14.41,tuk,1,3,0,0,1649.0
248.31,bus,2,4,0,0,1619.0
66.15,train,3,3,0,0,525.0
12.62,tuk,1,22,0,0,1453.0
169.41,bus,2,21,0,2,1033.0
158.86,train,3,19,1,0,760.0
14.9,taxi,4,17,1,0,2800.0
7.91,bus,2,8,1,0,106.0
13.16,tuk,1,11,0,0,1414.0
5.38,bus,2,20,0,0,100.0
10.84,tuk,1,19,1,0,1304.0
97.62,taxi,4,12,0,0,13215.0
83.99,bus,2,20,0,1,596.0
164.81,bus,2,8,1,0,1068.0
0.75,walk,0,9,1,0,0.0
45.81,bus,2,20,0,0,306.0
262.93,train,3,9,1,0,1502.0
53.47,bus,2,18,1,1,434.0
249.51,bus,2,10,0,0,1521.0
30.77,train,3,7,1,0,275.0
234.36,train,3,5,0,0,1275.0
5.31,tuk,1,14,0,0,640.0
56.58,bus,2,11,0,0,325.0
133.66,bus,2,8,1,1,724.0
215.08,bus,2,17,1,0,1262.0
15.5,tuk,1,0,0,0,1752.0
1.63,tuk,1,2,0,0,302.0
138.19,train,3,23,0,1,830.0
197.82,train,3,15,0,0,1347.0
137.63,train,3,13,0,0,886.0
36.42,taxi,4,0,0,0,5257.0
245.66,train,3,14,0,0,1267.0
28.03,train,3,10,0,0,252.0
213.41,train,3,14,0,1,1233.0
31.34,bus,2,0,0,1,266.0
151.72,bus,2,13,0,1,800.0
5.49,tuk,1,13,0,0,677.0
29.8,bus,2,6,0,0,206.0
14.44,tuk,1,1,0,0,1662.0
8.4,tuk,1,23,0,0,1036.0
213.58,bus,2,17,1,1,1494.0
199.73,bus,2,14,0,0,1111.0
14.13,tuk,1,18,1,0,1710.0
78.9,train,3,16,0,0,549.0
294.18,train,3,3,0,0,1381.0
17.8,tuk,1,10,0,0,2037.0
2.0,walk,0,21,0,0,0.0
7.5,tuk,1,6,0,0,950.0
167.42,train,3,23,0,0,830.0
62.59,train,3,1,0,0,434.0
9.14,tuk,1,7,1,0,1020.0
268.37,train,3,8,1,0,1333.0
3.97,tuk,1,14,0,0,563.0
67.04,bus,2,4,0,0,414.0
53.18,taxi,4,5,0,0,8670.0
18.85,tuk,1,15,0,0,2025.0
5.19,tuk,1,6,0,0,636.0
66.31,bus,2,21,0,1,464.0
53.02,bus,2,20,0,0,290.0
329.25,train,3,7,1,0,1609.0
57.53,taxi,4,13,0,0,8235.0
0.21,walk,0,7,1,0,0.0
8.39,tuk,1,8,1,0,1079.0
188.55,train,3,16,0,0,1198.0
5.48,tuk,1,7,1,0,701.0
270.84,train,3,3,0,0,1255.0
19.8,bus,2,6,0,0,182.0
11.9,tuk,1,22,0,0,1290.0
165.6,train,3,6,0,0,934.0
18.13,tuk,1,8,1,0,2004.0
130.32,bus,2,15,0,0,855.0
83.0,bus,2,2,0,1,554.0
146.58,bus,2,6,0,0,994.0
34.71,bus,2,4,0,1,306.0
177.32,bus,2,22,0,0,866.0
138.82,taxi,4,22,0,0,20852.0
136.76,taxi,4,18,1,0,19974.0
33.54,bus,2,5,0,1,326.0
0.93,walk,0,14,0,0,0.0
71.39,train,3,15,0,1,531.0
27.87,taxi,4,20,0,0,4424.0
11.35,tuk,1,3,0,0,1466.0
247.55,bus,2,17,1,0,1616.0
84.28,bus,2,4,0,0,584.0
0.39,walk,0,13,0,0,0.0
22.89,bus,2,21,0,0,168.0
101.06,bus,2,1,0,0,574.0
304.97,train,3,3,0,0,1566.0
216.21,train,3,19,1,0,1311.0
117.15,train,3,0,0,0,648.0
45.94,bus,2,16,0,0,270.0
1.9,tuk,1,12,0,0,333.0
254.78,train,3,8,1,0,1696.0
115.4,train,3,20,0,0,753.0
48.23,bus,2,20,0,0,376.0
175.9,train,3,7,1,0,1112.0
13.02,tuk,1,0,0,0,1606.0
145.03,train,3,3,0,0,928.0
1.13,walk,0,2,0,0,0.0
1.21,tuk,1,23,0,0,293.0
133.48,bus,2,14,0,1,944.0
0.33,walk,0,16,0,0,0.0
1.96,walk,0,5,0,0,0.0
0.14,walk,0,20,0,0,0.0
158.99,bus,2,17,1,0,839.0
171.21,train,3,18,1,2,1155.0
1.7,walk,0,11,0,0,0.0
75.7,bus,2,16,0,0,456.0
312.75,train,3,13,0,0,1536.0
18.64,tuk,1,9,1,0,2187.0
8.11,tuk,1,14,0,0,891.0
64.39,train,3,7,1,0,377.0
143.16,train,3,22,0,0,706.0
136.53,bus,2,17,1,1,945.0
319.05,train,3,17,1,0,1700.0
0.73,walk,0,17,1,0,0.0
41.34,bus,2,10,0,1,344.0
181.64,train,3,22,0,0,935.0
13.98,tuk,1,4,0,0,1663.0
252.65,train,3,13,0,0,1206.0
129.9,bus,2,1,0,1,819.0
72.69,train,3,7,1,0,563.0
65.26,bus,2,13,0,2,595.0
130.71,bus,2,11,0,1,854.0
14.1,tuk,1,22,0,0,1615.0
2.17,tuk,1,14,0,0,354.0
23.26,train,3,9,1,0,270.0
6.58,tuk,1,10,0,0,880.0
0.99,walk,0,14,0,0,0.0
9.45,tuk,1,18,1,0,1101.0
2.51,tuk,1,6,0,0,402.0
30.59,train,3,14,0,0,269.0
38.83,bus,2,13,0,1,350.0
82.05,taxi,4,0,0,0,12796.0
19.04,tuk,1,21,0,0,2314.0
158.93,bus,2,13,0,0,1011.0
88.11,bus,2,5,0,0,505.0
165.58,bus,2,15,0,1,871.0
63.6,train,3,16,0,0,461.0
101.93,taxi,4,21,0,0,14913.0
294.47,train,3,0,0,0,1863.0
9.92,tuk,1,9,1,0,1254.0
16.95,tuk,1,4,0,0,1912.0
215.38,bus,2,13,0,0,1040.0
8.24,tuk,1,12,0,0,938.0
63.19,train,3,11,0,0,403.0
174.18,bus,2,23,0,0,979.0
131.23,bus,2,12,0,1,827.0
49.09,train,3,9,1,1,447.0
67.22,train,3,1,0,1,562.0
0.98,walk,0,6,0,0,0.0
1.28,walk,0,21,0,0,0.0
57.68,bus,2,10,0,0,354.0
248.58,bus,2,21,0,0,1299.0
19.8,tuk,1,12,0,0,2362.0
57.27,bus,2,13,0,0,391.0
66.58,train,3,10,0,0,365.0
305.69,train,3,13,0,0,1792.0
195.0,bus,2,1,0,0,1103.0
148.48,bus,2,1,0,1,897.0
15.39,tuk,1,11,0,0,1539.0
97.17,bus,2,14,0,0,530.0
13.6,tuk,1,13,0,0,1636.0
102.11,bus,2,10,0,1,697.0
164.0,bus,2,7,1,0,1069.0
1.9,walk,0,17,1,0,0.0
1.3,walk,0,14,0,0,0.0
19.34,tuk,1,1,0,0,2331.0
228.6,train,3,10,0,0,1144.0
7.66,bus,2,17,1,0,82.0
19.96,tuk,1,18,1,0,2202.0
300.79,train,3,6,0,0,1781.0
28.68,bus,2,22,0,0,204.0
162.36,bus,2,15,0,0,932.0
238.45,train,3,10,0,0,1307.0
1.69,walk,0,15,0,0,0.0
13.97,tuk,1,20,0,0,1645.0
219.61,bus,2,5,0,0,1393.0
16.26,tuk,1,3,0,0,1756.0
24.39,bus,2,10,0,1,227.0
5.32,tuk,1,2,0,0,628.0
0.51,walk,0,20,0,0,0.0
4.71,tuk,1,23,0,0,601.0
173.8,bus,2,14,0,0,1162.0
17.27,tuk,1,23,0,0,1971.0
16.3,tuk,1,1,0,0,1852.0
75.38,train,3,15,0,0,476.0
5.52,tuk,1,10,0,0,687.0
162.61,bus,2,6,0,1,955.0
0.51,walk,0,7,1,0,0.0
185.35,bus,2,13,0,0,1200.0
1.41,tuk,1,15,0,0,301.0
214.36,bus,2,3,0,0,1095.0
14.19,tuk,1,14,0,0,1577.0
186.81,train,3,22,0,0,904.0
199.74,train,3,0,0,1,1234.0
1.46,walk,0,21,0,0,0.0
0.72,tuk,1,14,0,0,235.0
4.02,tuk,1,8,1,0,598.0
120.47,bus,2,17,1,0,705.0
17.16,tuk,1,14,0,0,1989.0
200.07,train,3,18,1,0,1090.0
299.05,train,3,1,0,0,1523.0
141.23,train,3,1,0,0,950.0
25.21,bus,2,15,0,0,187.0
54.24,taxi,4,7,1,0,8884.0
0.77,walk,0,5,0,0,0.0
52.89,bus,2,10,0,0,425.0
13.75,tuk,1,17,1,0,1732.0
98.54,train,3,4,0,0,550.0
73.25,bus,2,23,0,0,420.0
266.59,train,3,10,0,0,1215.0
10.33,tuk,1,3,0,0,1281.0
131.33,taxi,4,1,0,0,20682.0
159.89,bus,2,20,0,1,977.0
101.2,bus,2,2,0,1,758.0
34.59,taxi,4,10,0,0,5780.0
226.75,bus,2,16,0,0,1426.0
35.99,bus,2,12,0,1,321.0
121.83,bus,2,6,0,0,808.0
15.49,tuk,1,2,0,0,1782.0
11.88,tuk,1,17,1,0,1401.0
5.99,tuk,1,11,0,0,789.0
14.71,tuk,1,1,0,0,1803.0
47.6,train,3,4,0,0,339.0
124.98,bus,2,13,0,0,709.0
106.75,bus,2,4,0,1,653.0
109.65,bus,2,9,1,0,596.0
70.59,bus,2,2,0,0,452.0
59.33,bus,2,19,1,2,477.0
81.75,train,3,15,0,0,538.0
313.7,train,3,18,1,0,1480.0
80.41,bus,2,1,0,0,538.0
11.67,tuk,1,9,1,0,1527.0
13.56,bus,2,6,0,0,96.0
77.63,bus,2,14,0,0,472.0
233.78,bus,2,19,1,0,1502.0
189.11,bus,2,5,0,1,1183.0
175.92,bus,2,18,1,0,1113.0
3.54,tuk,1,13,0,0,498.0
13.43,tuk,1,19,1,0,1473.0
130.74,bus,2,1,0,0,759.0
0.86,walk,0,23,0,0,0.0
5.04,tuk,1,10,0,0,628.0
23.43,train,3,6,0,1,293.0
167.56,bus,2,4,0,0,1125.0
5.25,tuk,1,23,0,0,743.0
248.59,bus,2,21,0,0,1356.0
310.72,train,3,3,0,0,1686.0
2.04,tuk,1,10,0,0,363.0
151.09,train,3,17,1,0,774.0
64.62,train,3,14,0,1,513.0
98.47,bus,2,4,0,0,637.0
181.26,bus,2,8,1,0,904.0
1.25,walk,0,8,1,0,0.0
60.17,train,3,6,0,0,416.0
119.91,bus,2,23,0,0,579.0
271.95,train,3,4,0,0,1536.0
151.87,bus,2,16,0,0,980.0
0.61,walk,0,21,0,0,0.0
1.34,walk,0,19,1,0,0.0
41.28,bus,2,19,1,0,243.0
219.22,bus,2,3,0,0,1319.0
1.34,walk,0,3,0,0,0.0
49.52,train,3,18,1,0,352.0
323.43,train,3,17,1,1,1935.0
13.72,bus,2,17,1,0,144.0
212.17,bus,2,10,0,0,1090.0
0.22,walk,0,12,0,0,0.0
230.27,train,3,0,0,0,1466.0
14.99,tuk,1,6,0,0,1566.0
187.7,train,3,12,0,0,943.0
233.85,bus,2,3,0,0,1604.0
105.82,bus,2,3,0,1,605.0
8.83,tuk,1,1,0,0,1129.0
12.55,tuk,1,5,0,0,1519.0
63.83,train,3,23,0,0,487.0
23.95,bus,2,16,0,1,249.0
64.07,bus,2,22,0,0,470.0
103.79,taxi,4,6,0,0,14473.0
135.72,taxi,4,14,0,0,18620.0
274.61,train,3,21,0,0,1659.0
13.18,tuk,1,8,1,0,1488.0
173.44,bus,2,15,0,0,1206.0
122.99,train,3,16,0,0,767.0
207.66,bus,2,19,1,0,1254.0
5.77,tuk,1,23,0,0,750.0
132.25,train,3,14,0,0,880.0
41.16,bus,2,13,0,1,348.0
10.44,bus,2,20,0,0,103.0
140.46,taxi,4,16,0,0,20908.0
74.48,bus,2,8,1,0,523.0
55.12,bus,2,15,0,1,420.0
23.86,bus,2,13,0,0,225.0
186.88,bus,2,5,0,2,1099.0
15.38,tuk,1,12,0,0,1662.0
164.37,train,3,14,0,0,955.0
104.44,train,3,21,0,0,694.0
3.02,tuk,1,13,0,0,435.0
18.37,tuk,1,3,0,0,1938.0
151.2,train,3,23,0,1,892.0
1.6,walk,0,13,0,0,0.0
193.16,bus,2,6,0,0,1197.0
18.73,bus,2,18,1,0,129.0
211.85,bus,2,9,1,0,1271.0
4.72,tuk,1,8,1,0,597.0
101.64,bus,2,20,0,0,541.0
58.45,bus,2,20,0,0,379.0
201.65,bus,2,12,0,0,1107.0
1.13,walk,0,8,1,0,0.0
99.48,bus,2,20,0,1,660.0
146.47,bus,2,4,0,0,942.0
9.33,tuk,1,17,1,0,1192.0
5.58,tuk,1,14,0,0,675.0
13.94,tuk,1,20,0,0,1558.0
4.48,tuk,1,10,0,0,640.0
1.25,walk,0,19,1,0,0.0
52.7,train,3,0,0,0,317.0
64.92,bus,2,18,1,0,407.0
58.01,train,3,1,0,0,447.0
18.95,taxi,4,15,0,0,3542.0
0.99,walk,0,4,0,0,0.0
31.43,bus,2,23,0,1,295.0
219.63,train,3,18,1,1,1096.0
40.55,bus,2,2,0,0,245.0
143.73,bus,2,21,0,0,787.0
149.88,bus,2,6,0,2,833.0
1.67,walk,0,13,0,0,0.0
19.38,bus,2,2,0,0,166.0
40.26,taxi,4,2,0,0,5725.0
76.3,taxi,4,5,0,0,12238.0
1.99,walk,0,12,0,0,0.0
161.71,train,3,13,0,0,959.0
14.71,tuk,1,20,0,0,1606.0
303.92,train,3,3,0,1,1842.0
1.55,walk,0,17,1,0,0.0
145.69,train,3,0,0,0,725.0
142.82,train,3,6,0,0,759.0
7.59,tuk,1,4,0,0,996.0
0.75,walk,0,2,0,0,0.0
283.13,train,3,14,0,0,1288.0
1.76,tuk,1,21,0,0,298.0
138.2,bus,2,16,0,1,913.0
196.09,train,3,20,0,0,1279.0
156.93,bus,2,14,0,0,812.0
200.78,bus,2,1,0,0,1019.0
31.84,bus,2,8,1,0,237.0
0.11,walk,0,19,1,0,0.0
31.62,taxi,4,1,0,0,5313.0
1.01,tuk,1,2,0,0,273.0
10.45,tuk,1,20,0,0,1171.0
15.65,tuk,1,1,0,0,1725.0
136.82,taxi,4,23,0,0,21626.0
0.94,walk,0,18,1,0,0.0
312.1,train,3,15,0,0,1469.0
66.33,train,3,12,0,0,398.0
171.42,train,3,2,0,0,920.0
73.16,taxi,4,9,1,0,10372.0
182.6,train,3,19,1,0,1160.0
326.15,train,3,21,0,0,1789.0
4.11,tuk,1,10,0,0,515.0
267.31,train,3,20,0,0,1305.0
96.85,bus,2,18,1,0,674.0
105.27,bus,2,1,0,1,675.0
153.28,train,3,14,0,0,989.0
136.04,taxi,4,14,0,0,21125.0
180.34,train,3,13,0,0,916.0
147.2,bus,2,18,1,0,878.0
165.48,bus,2,21,0,0,923.0
139.22,bus,2,13,0,0,839.0
169.8,bus,2,7,1,0,922.0
168.95,bus,2,23,0,0,831.0
1.98,walk,0,23,0,0,0.0
0.4,walk,0,16,0,0,0.0
115.01,train,3,15,0,1,741.0
